age,decile,n,median_km,ratio,rate,event
5,10,28615,134006.859375,2.3913843631744385,0.08831032675170365,fleet_exit
6,1,28208,24122.45703125,0.35254135727882385,0.03520277935337493,fleet_exit
6,2,28213,38255.71484375,0.5590940117835999,0.03711055187324992,fleet_exit
6,3,28209,48055.01171875,0.7023073434829712,0.03729306249778439,fleet_exit
6,4,28213,56439.6953125,0.8248465657234192,0.04274625172792684,fleet_exit
6,5,28212,64389.8515625,0.9410353302955627,0.04441372465617468,fleet_exit
6,6,28211,72671.5390625,1.062069296836853,0.04675481195278437,fleet_exit
6,7,28209,81876.984375,1.196603775024414,0.049345953419121555,fleet_exit
6,8,28214,93362.875,1.3644660711288452,0.05479549159991494,fleet_exit
6,9,28211,110560.3203125,1.6158007383346558,0.0609691255184148,fleet_exit
6,10,28212,152816.0625,2.233353853225708,0.08219906422798809,fleet_exit
7,1,27161,28512.748046875,0.35301268100738525,0.03379846102868083,fleet_exit
7,2,27161,45097.0390625,0.5583406686782837,0.034277088472442103,fleet_exit
7,3,27162,56607.87109375,0.7008547782897949,0.037662911420366686,fleet_exit
7,4,27160,66528.671875,0.823682963848114,0.0398379970544919,fleet_exit
7,5,27162,75986.7890625,0.9407826662063599,0.04428981665562182,fleet_exit
7,6,27163,85679.8671875,1.0607914924621582,0.04646025843978942,fleet_exit
7,7,27156,96476.953125,1.1944687366485596,0.04993371630578878,fleet_exit
7,8,27166,109762.0859375,1.3589502573013306,0.05495840388721196,fleet_exit
7,9,27162,129234.34375,1.6000337600708008,0.05993667623886312,fleet_exit
7,10,27162,174911.546875,2.165557384490967,0.08559752595537884,fleet_exit
8,1,25559,33694.8359375,0.3608832061290741,0.03302163621424938,fleet_exit
8,2,25558,52918.44921875,0.5667746663093567,0.033922842162923544,fleet_exit
8,3,25560,66038.625,0.7072962522506714,0.038928012519561815,fleet_exit
8,4,25555,77303.2265625,0.8279439806938171,0.04022696145568382,fleet_exit
8,5,25558,88006.9765625,0.9425848126411438,0.042765474606776745,fleet_exit
8,6,25561,98910.28125,1.0593628883361816,0.04995892179492195,fleet_exit
8,7,25557,111130.03125,1.1902406215667725,0.05399694799859139,fleet_exit
8,8,25561,126090.4921875,1.3504722118377686,0.056648800907632725,fleet_exit
8,9,25560,148047.5625,1.5856399536132812,0.06795774647887325,fleet_exit
8,10,25560,198124.734375,2.121983528137207,0.09139280125195619,fleet_exit
9,1,24151,38714.37890625,0.36843153834342957,0.036603039211626845,fleet_exit
9,2,24151,60146.01171875,0.5723890662193298,0.03788662995321105,fleet_exit
9,3,24149,74844.1484375,0.712266206741333,0.04058139053376952,fleet_exit
9,4,24150,87211.15625,0.8299587965011597,0.04625258799171843,fleet_exit
9,5,24152,99090.53125,0.9430107474327087,0.04562769128850613,fleet_exit
9,6,24153,111204.0625,1.0582910776138306,0.053699333416138785,fleet_exit
9,7,24151,124506.8984375,1.1848896741867065,0.06186079251376755,fleet_exit
9,8,24151,140769.3125,1.339653491973877,0.0659185955032918,fleet_exit
9,9,24150,164367.125,1.5642257928848267,0.07113871635610766,fleet_exit
9,10,24153,217135.90625,2.066408395767212,0.10085703639299466,fleet_exit
10,1,21653,43606.78515625,0.37445068359375,0.03833187087239644,fleet_exit
10,2,21655,66985.7265625,0.5752052068710327,0.03906719002539829,fleet_exit
10,3,21656,83172.5078125,0.7142007946968079,0.04142039157739195,fleet_exit
10,4,21653,96892.1640625,0.8320112824440002,0.04983143213411537,fleet_exit
10,5,21657,109971.3046875,0.9443216323852539,0.053793230826060856,fleet_exit
10,6,21656,123114.8125,1.0571846961975098,0.058782785371259694,fleet_exit
10,7,21655,137409.015625,1.1799287796020508,0.06506580466404988,fleet_exit
10,8,21652,154555.75,1.3271673917770386,0.07348050988361353,fleet_exit
10,9,21658,179330.8125,1.5399104356765747,0.0820482038969434,fleet_exit
10,10,21656,231554.84375,1.9883573055267334,0.1236147026228297,fleet_exit
11,1,18587,48819.44921875,0.38448864221572876,0.0394361650616022,fleet_exit
11,2,18589,74401.5859375,0.5859665274620056,0.04298240895153047,fleet_exit
11,3,18587,91595.8125,0.7213835716247559,0.04933555710980793,fleet_exit
11,4,18588,106256.1328125,0.836844265460968,0.05551969012265978,fleet_exit
11,5,18585,120055.453125,0.9455239176750183,0.06220069948883508,fleet_exit
11,6,18591,133956.96875,1.0550084114074707,0.06766715077187886,fleet_exit
11,7,18587,149116.984375,1.1744046211242676,0.07693549254855545,fleet_exit
11,8,18588,167151.296875,1.316437840461731,0.08317193888530235,fleet_exit
11,9,18588,192284.421875,1.5143795013427734,0.0955993113836884,fleet_exit
11,10,18588,243814.0,1.9202123880386353,0.15025823111684958,fleet_exit
12,1,15918,53313.54296875,0.38896194100379944,0.04177660510114336,fleet_exit
12,2,15919,80919.421875,0.5903673768043518,0.04749042025252843,fleet_exit
12,3,15920,99535.515625,0.7261856198310852,0.055402010050251256,fleet_exit
